feature0	ihlal
feature1	bilgi
feature2	sorgula
feature3	hizmet
feature4	ol
feature5	belirti
feature6	tane
feature7	ceza
feature8	tutar
feature9	tarihi
feature10	yasal
feature11	sure
feature12	var
feature13	yeter
feature14	gir
feature15	ifade
feature16	helal
feature17	ekim
feature18	tarih
feature19	kongre
feature20	merkezi
feature21	buy
feature22	ekonomi
feature23	zirve
feature24	plan
feature25	fuar
feature26	konsey
feature27	kurul
feature28	yunus
feature29	et
feature30	denetim
feature31	vere
feature32	milyar
feature33	giyim
feature34	turizm
feature35	belir
feature36	hacim
feature37	trilyon
feature38	ekle
feature39	dolar
feature40	ihracat
feature41	toplam
feature42	un
feature43	de
feature44	alan
feature45	iki
feature46	sebep
feature47	rant
feature48	arala
feature49	risk
feature50	dikkat
feature51	sik
feature52	denetle
feature53	gerek
feature54	vurgula
feature55	dernek
feature56	kurum
feature57	denet
feature58	kabul
feature59	ver
feature60	sadece
feature61	devam
feature62	getir
feature63	neden
feature64	arz
feature65	temel
feature66	gayri
feature67	milyon
feature68	hayat
feature69	gece
feature70	ilk
feature71	karma
feature72	proje
feature73	ege
feature74	dun
feature75	bin
feature76	kirala
feature77	sahip
feature78	manzara
feature79	konut
feature80	ofis
feature81	katil
feature82	kule
feature83	konak
feature84	yer
feature85	kent
feature86	ate
feature87	bit
feature88	genel
feature89	turgay
feature90	arazi
feature91	rampa
feature92	kanyon
feature93	talep
feature94	ilgi
feature95	memnun
feature96	deprem
feature97	et
feature98	hedef
feature99	itibari
feature100	tamamla
feature101	hakan
feature102	tart
feature103	on
feature104	ruhsat
feature105	vergi
feature106	indir
feature107	yarat
feature108	hedefle
feature109	rekabet
feature110	yeni
feature111	soru
feature112	paket
feature113	isle
feature114	devlet
feature115	vergile
feature116	ilave
feature117	pazar
feature118	yan
feature119	aya
feature120	ortay
feature121	koy
feature122	is
feature123	sonuç
feature124	kolay
feature125	al
feature126	zor
feature127	verici
feature128	ede
feature129	kriz
feature130	etki
feature131	dile
feature132	konu
feature133	yap
feature134	sanayi
feature135	ulus
feature136	bulun
feature137	kaydet
feature138	ara
feature139	sendika
feature140	kararla
feature141	son
feature142	biri
feature143	kaybet
feature144	onay
feature145	herkes
feature146	bekle
feature147	bil
feature148	patron
feature149	mehdi
feature150	ek
feature151	alkol
feature152	sorun
feature153	tutun
feature154	yakin
feature155	baki
feature156	bol
feature157	sunum
feature158	hafta
feature159	bakan
feature160	imzala
feature161	iddia
feature162	tekel
feature163	varit
feature164	zaman
feature165	yok
feature166	eski
feature167	alt
feature168	sahte
feature169	tek
feature170	elde
feature171	fayda
feature172	kurula
feature173	maliye
feature174	engelle
feature175	sor
feature176	tut
feature177	kadro
feature178	veda
feature179	evcimen
feature180	aday
feature181	vekil
feature182	seyit
feature183	ali
feature184	mamul
feature185	izin
feature186	yetki
feature187	belgele
feature188	piyasa
feature189	takip
feature190	kontrol
feature191	bilinç
feature192	etil
feature193	ticaret
feature194	okul
feature195	done
feature196	veli
feature197	gel
feature198	etkin
feature199	bas
feature200	uygula
feature201	program
feature202	ihale
feature203	dahil
feature204	ilkokul
feature205	sut
feature206	ekmek
feature207	meclis
feature208	hektar
feature209	toplu
feature210	boyut
