feature0	bilgi
feature1	sorgula
feature2	hizmet
feature3	ile
feature4	ihlal
feature5	ol
feature6	akla
feature7	var
feature8	ise
feature9	son
feature10	tane
feature11	ve
feature12	ceza
feature13	bu
feature14	tarihi
feature15	itibaren
feature16	yasal
feature17	yeter
feature18	bakiye
feature19	gir
feature20	ifade
feature21	her
feature22	helal
feature23	pazar
feature24	organizasyon
feature25	ekim
feature26	tarih
feature27	kongre
feature28	i
feature29	potansiyel
feature30	sonra
feature31	en
feature32	ekonomi
feature33	zirve
feature34	plan
feature35	fuar
feature36	konsey
feature37	de
feature38	ayn
feature39	ar
feature40	kurul
feature41	bakan
feature42	yunus
feature43	et
feature44	denetim
feature45	art
feature46	belir
feature47	sertifika
feature48	ver
feature49	nem
feature50	milyar
feature51	zerin
feature52	giyim
feature53	turizm
feature54	gen
feature55	bir
feature56	dolar
feature57	hacim
feature58	trilyon
feature59	ekle
feature60	ortalama
feature61	ihracat
feature62	toplam
feature63	un
feature64	bula
feature65	alan
feature66	iki
feature67	sebep
feature68	rant
feature69	arala
feature70	risk
feature71	dikkat
feature72	ek
feature73	denetle
feature74	vurgula
feature75	ama
feature76	vere
feature77	dernek
feature78	kurum
feature79	kabul
feature80	onay
feature81	gerek
feature82	sadece
feature83	ye
feature84	devam
feature85	getir
feature86	ancak
feature87	endonezya
feature88	malezya
feature89	gibi
feature90	neden
feature91	arz
feature92	temel
feature93	gayrimenkul
feature94	milyon
feature95	hayat
feature96	ilk
feature97	karma
feature98	proje
feature99	ege
feature100	bin
feature101	kirala
feature102	sahip
feature103	merkezi
feature104	yan
feature105	tamam
feature106	konut
feature107	ofis
feature108	kule
feature109	konak
feature110	belediye
feature111	yer
feature112	kent
feature113	et
feature114	ate
feature115	genel
feature116	turgay
feature117	unla
feature118	arazi
feature119	rampa
feature120	kanyon
feature121	sat
feature122	imdi
feature123	ay
feature124	talep
feature125	topla
feature126	ok
feature127	memnun
feature128	deprem
feature129	al
feature130	hedef
feature131	itibari
feature132	tamamla
feature133	rota
feature134	birlikte
feature135	ilgi
feature136	hakan
feature137	tart
feature138	ruhsat
feature139	bekle
feature140	il
feature141	istihdam
feature142	diye
feature143	vergi
feature144	indir
feature145	fransa
feature146	aklan
feature147	az
feature148	hedefle
feature149	rekabet
feature150	yeni
feature151	atıf
feature152	paket
feature153	ilet
feature154	devlet
feature155	kadar
feature156	bina
feature157	ilave
feature158	tasarruf
feature159	tedbir
feature160	kdv
feature161	istatistik
feature162	aya
feature163	ortay
feature164	koy
feature165	kar
feature166	merkez
feature167	karar
feature168	sonuç
feature169	kolay
feature170	zor
feature171	verici
feature172	ede
feature173	ekonomik
feature174	kriz
feature175	etki
feature176	dile
feature177	konu
feature178	yap
feature179	sanayi
feature180	da
feature181	kaydet
feature182	ara
feature183	sendika
feature184	temsil
feature185	kararla
feature186	biri
feature187	bildir
feature188	herkes
feature189	kaybet
feature190	bil
feature191	sigara
feature192	patron
feature193	mehdi
feature194	eker
feature195	alkol
feature196	sorun
feature197	kimyasal
feature198	grev
feature199	biz
feature200	sunum
feature201	hafta
feature202	tekel
feature203	o
feature204	zaman
feature205	mi
feature206	yok
feature207	reddet
feature208	eski
feature209	zer
feature210	bal
feature211	faaliyet
feature212	bulundur
feature213	daha
feature214	ey
feature215	zerk
feature216	veya
feature217	alt
feature218	bile
feature219	kan
feature220	doru
feature221	buy
feature222	sahte
feature223	siz
feature224	koordinasyon
feature225	tek
feature226	elde
feature227	fayda
feature228	kurula
feature229	vergi
feature230	maliye
feature231	engelle
feature232	kampanya
feature233	sor
feature234	tut
feature235	kadro
feature236	devret
feature237	baz
feature238	yeler
feature239	veda
feature240	evcimen
feature241	aday
feature242	suat
feature243	seyit
feature244	ali
feature245	mehmet
feature246	hangi
feature247	mamul
feature248	izin
feature249	yetki
feature250	belge
feature251	piyasa
feature252	takip
feature253	uygula
feature254	bilinç
feature255	etil
feature256	analiz
feature257	ticaret
feature258	bulun
feature259	kantin
feature260	okul
feature261	veli
feature262	gel
feature263	denet
feature264	etkin
feature265	program
feature266	ihale
feature267	kinci
feature268	dahil
feature269	ilkokul
feature270	ekmek
feature271	meclis
feature272	komisyon
feature273	sayla
feature274	hektar
feature275	boyut
feature276	ithalat
feature277	ham
feature278	ilen
feature279	deri
feature280	mantar
feature281	odun
feature282	kereste
feature283	kat
feature284	hamur
feature285	dokuma
feature286	elyaf
feature287	ithal
feature288	tl
feature289	lira
feature290	destek
feature291	miyar
feature292	hayvan
feature293	rakam
feature294	dolay
feature295	trend
feature296	say
feature297	enflasyon
feature298	erdem
feature299	banka
